provider_id,score_quality,score_facilites,score_attendance
7220073,3,3,4
2941201,2,3,2
9995587,1,2,1
6816029,1,1,5
7070675,3,3,3
3791300,2,3,2
7823193,3,4,4
617768,3,3,4
5872308,1,1,1
957011,1,1,2
3820793,1,2,2
7594763,1,1,2
9203389,1,1,3
70904,1,1,5
9296808,3,4,3
2019388,2,2,4
605808,1,3,3
5320720,3,4,5
5315557,1,2,1
5362911,1,1,5
6504981,2,4,5
9327320,3,4,3
7802455,1,3,1
5051916,1,3,1
5760569,1,2,1
2313820,1,2,3
2317397,1,3,2
6646204,2,2,5
3961478,1,3,1
5044162,2,2,5
4005309,1,1,2
5854865,3,5,3
2916088,1,5,1
6241794,1,1,5
7082266,3,4,4
2332078,1,2,5
2337339,1,3,5
844683,1,2,3
6745822,2,4,2
6989098,1,1,5
9247815,1,4,1
6243754,2,3,5
2021366,3,3,3
7640013,1,2,5
7460600,1,1,1
6828841,3,3,3
7855273,1,4,1
796999,1,1,1
2370727,1,1,2
1034251,2,4,2
7418590,2,4,2
902306,2,4,2
211478,2,4,2
5479959,2,3,2
3788237,1,3,1
7859627,1,3,3
2308274,1,1,1
3883469,1,2,5
6740456,1,1,1
3326853,1,1,4
982601,1,3,3
9123792,2,2,5
7944136,1,1,5
7973403,3,3,3
7690630,3,3,3
7290497,1,4,1
7077297,1,3,1
9421750,1,1,3
6607187,2,4,3
2325616,1,1,1
9541489,1,1,5
670251,1,5,3
2669161,1,4,1
6240682,1,1,3
997986,3,4,5
3919749,1,5,3
5633699,1,2,1
6158188,1,3,5
5383382,2,5,3
272884,1,2,1
9493964,3,3,5
7614608,3,4,5
6215785,1,5,1
2426285,1,4,1
6100988,1,5,1
9648399,1,4,2
2552205,1,2,1
2846276,3,4,5
6456367,2,5,4
7127820,1,1,3
6165354,1,1,2
5365813,1,3,1
9301852,2,2,4
9378111,1,1,5
9983082,1,1,4
5171423,1,1,3
3035042,2,2,5
7093470,2,2,5
6516041,3,5,3
9372067,1,5,1
3423824,3,4,4
846252,1,3,2
6408850,4,4,4
2372053,4,4,5
7623720,1,1,4
3916855,1,4,1
4013476,1,1,4
5976995,1,4,1
2473232,1,2,1
515485,2,2,5
9197559,1,1,1
6596401,1,1,5
2407892,1,5,1
5123372,2,3,2
652032,2,2,2
7468083,2,2,2
7556071,2,2,2
6809367,3,3,4
7793685,2,2,5
4068815,1,1,1
2362872,3,3,5
3006751,2,2,5
3146790,2,2,2
7324634,1,3,1
4137655,1,2,2
3746348,2,2,3
7355270,1,2,1
29742,1,3,1
3138690,1,4,1
2322331,1,5,1
7238916,1,5,1
2613336,2,3,4
7305346,1,1,5
832537,1,3,3
9241671,1,4,1
4052374,2,4,3
7075375,1,2,1
2433788,1,5,5
930059,1,3,1
2355043,2,2,5
7194013,1,2,2
5668891,4,5,5
2630435,1,5,2
2841649,3,4,4
9929460,1,2,1
6561780,3,5,3
9628916,1,4,3
7332076,1,1,3
2346230,2,2,5
5039223,1,3,3
9859934,3,5,3
7578954,1,1,1
26336,1,2,5
2984342,1,3,4
367389,1,1,2
6594808,1,1,5
4029364,1,3,2
3162354,1,1,4
106089,1,1,1
2797976,2,2,5
7699204,2,2,2
9599460,2,2,2
2630419,3,4,3
6800114,2,2,3
7150105,1,4,5
77461,2,3,4
9534075,1,2,1
6135803,2,3,2
7603037,2,2,5
9869794,3,4,4
9677356,1,4,5
2011549,1,3,3
853186,1,4,5
3305392,3,4,3
9330194,1,1,2
3534189,1,2,4
458147,2,5,2
5303591,3,5,3
553662,1,3,2
9275312,1,1,5
5161266,1,3,1
832189,3,3,5
457663,1,1,3
9377204,2,2,2
6704085,1,3,2
9309578,1,3,1
6144365,1,2,1
3766241,2,5,2
9821171,1,2,1
7386710,2,2,2
7061528,1,3,1
5278120,1,2,2
7640021,1,4,1
9478221,3,3,3
3777901,1,5,1
6303889,1,3,5
3413098,1,4,5
7413459,2,4,5
395579,2,2,5
257842,1,3,5
6770975,1,2,2
2869519,2,4,4
38911,1,3,4
6988407,1,1,3
272450,1,3,5
2401525,1,4,5
2771373,1,1,1
205591,4,4,4
3871800,1,1,1
7995067,1,1,5
4024168,1,1,1
6843239,1,4,4
6263259,1,1,4
9213015,1,5,3
3059227,1,3,1
5496950,2,5,4
6466184,1,2,2
3433803,1,4,1
7072686,1,2,1
658391,1,1,3
2814072,1,2,2
838047,4,5,4
6520286,4,4,4
3045390,1,3,1
3272818,1,4,2
6193641,2,5,3
6865011,1,5,5
7990553,1,1,5
9562486,1,1,2
7596871,1,1,5
773425,1,1,2
6742432,4,5,4
3545342,1,1,1
5126649,1,1,3
7267207,4,4,5
5241170,1,2,3
7167474,1,5,1
5554276,1,2,4
931373,2,5,2
5717353,1,1,5
6128963,1,2,4
5439760,4,4,5
2776413,2,2,3
6297943,2,3,3
6367534,2,2,3
9277978,2,3,2
6651399,1,1,1
6629482,1,1,3
9871047,2,3,2
680788,1,1,3
6814506,1,3,1
7053118,2,3,3
111945,3,5,5
6065945,2,4,2
2141795,2,5,4
3606988,3,3,5
2154803,1,1,2
9170901,3,3,5
5405211,1,1,5
7809786,2,3,3
2172275,2,3,2
3871975,3,5,4
9927034,1,2,3
9520643,1,4,3
4116259,1,1,2
9970258,1,4,1
7921594,1,2,1
2113260,1,4,4
177490,1,1,5
7658125,1,2,2
5237904,3,4,4
9276807,1,4,1
3621804,2,2,5
7922388,2,3,4
2117614,2,3,3
7160097,1,2,3
7148828,1,4,4
9919791,2,2,3
6119778,4,5,5
3392325,2,3,2
3708764,3,3,3
5760003,1,5,1
9067396,1,3,1
6762654,1,3,2
6228925,3,5,3
7948425,1,3,4
2932970,1,1,4
7057652,1,1,5
7239602,2,2,3
1077848,3,4,4
483915,2,4,2
6194567,1,2,2
7541732,3,5,3
7719663,2,3,5
5597838,2,2,2
7615418,4,5,5
3340333,2,3,2
7152434,3,5,5
6572189,3,4,3
6165443,1,3,5
6425593,2,3,2
7307659,1,5,1
6392458,1,1,1
7630093,2,2,4
223301,1,4,3
9604065,2,5,2
5894190,1,2,1
2988976,1,1,2
2997983,2,2,3
794546,3,4,3
3328422,2,4,2
9476563,1,1,4
9308806,2,3,2
3288528,1,1,2
3697258,1,4,4
7545517,2,5,2
6303641,1,4,4
4124987,1,4,2
5708281,1,1,1
3654044,2,4,5
3691810,1,2,2
9773053,2,3,4
204234,3,4,3
3439623,2,4,2
5105919,1,4,1
665045,2,2,5
6802982,1,1,1
5876575,1,1,1
3925935,3,4,5
5373409,1,2,1
3230554,2,4,3
9077324,1,1,2
4109600,1,3,4
6942806,1,2,1
971871,2,2,2
3878430,1,5,2
9779868,1,1,4
9705767,2,2,3
3524434,1,2,5
5852048,1,4,4
5548926,3,3,3
6915000,1,2,1
3197727,1,3,5
4114655,5,5,5
3072398,3,4,4
9597115,1,4,1
9967893,1,1,4
3938514,1,2,5
4074912,1,1,1
2135256,4,4,5
9396977,2,4,2
7595085,3,3,4
9836845,1,2,1
9283692,2,4,3
9871829,1,3,3
2675277,2,2,2
3193543,1,4,1
109150,3,3,3
3920011,4,5,4
2547996,2,4,5
7161298,1,2,1
9626727,1,1,4
9679014,1,3,3
9801774,1,5,1
3821668,2,2,3
7150199,1,2,3
4106989,1,1,1
3189163,2,2,4
3929353,3,4,3
9053859,1,3,4
7681593,2,5,4
7868758,3,3,5
9246029,2,2,4
2485761,1,1,4
2547945,1,3,1
9226753,1,1,1
9557377,2,4,2
3696502,1,4,3
9849238,5,5,5
909580,1,3,5
148245,2,4,3
4027043,2,2,5
6090052,3,5,3
6882439,2,3,5
6486843,3,4,5
9572171,1,4,1
9976809,3,3,3
5085713,2,3,3
9046828,1,2,2
9833773,2,2,2
1043935,1,2,5
6373283,1,1,1
5703026,1,4,2
6411770,1,5,3
5658586,1,1,1
2893851,1,4,2
9148744,3,3,5
605689,3,5,3
112674,1,1,2
6517323,1,4,5
2276046,1,1,1
6199275,4,4,4
5054834,4,4,4
9585826,2,3,3
